#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
129,Leather Ball 2026,Blast T20,League,04/26/2026,12:00,Brothers XI,Knotty 40,Tigers Park
130,Leather Ball 2026,Blast T20,League,04/26/2026,12:00,Desi Tigers,The Underdawg XI,Gurnee
131,Leather Ball 2026,Blast T20,League,04/26/2026,12:00,Chicago Saifee Warriors,Shaheens of Pakistan,Naperville East
132,Leather Ball 2026,RedBall Premier,League,04/26/2026,08:30,Midwest CC,SBCC Slayers,Tigers Park
133,Leather Ball 2026,RedBall Premier,League,04/26/2026,08:30,Deccan Mavericks,Streamwood Cricket Club,Gurnee
134,Leather Ball 2026,RedBall Premier,League,04/26/2026,08:30,Challengers,Club Cricket of Chicago,Naperville East
135,Leather Ball 2026,RedBall Premier,League,04/26/2026,08:30,Cardinals United,CYCA Elite,Plainfield Northwest
136,Leather Ball 2026,RedBall Premier,League,04/26/2026,08:30,Milwaukee Panthers,Rovers,Plainfield Grande Park old
137,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,South Barrington Cricket Club,Spartans,balstrod b.brook
138,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,DMavs Stallions,Schaumburg Strikers,WP 1
139,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,BPL Youth,Dominators,WP 2
140,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,Bullfincherz,Wildcats,Tippecone Park
141,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,Chicago Warriors,Warriors,Crescent
142,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,Deccan Heroes,Rising Starz Youth,South Barrington OLD
143,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,DeePark Dynamites,Oh Gawd XI,Hanover Park
144,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,Black Caps,Hawks,Heritage Park
145,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,Kings,Stars,Skoke East
146,Leather Ball 2026,RedBall Division II,League,04/26/2026,08:30,Chicago Tigers,CYCA Underdogs,Skoke West
147,Leather Ball 2026,Blast T20,League,04/26/2026,08:30,Knotty 40,The Underdawg XI,"James Park, Evanston"
148,Leather Ball 2026,Blast T20,League,04/26/2026,08:30,Chicago Saifee Warriors,Midwest Bison,Vernon Hills
149,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,Barrington Crescent Cricket Club,SBCC Slayers,Tigers Park
150,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,CYCA Elite,Panthers,Gurnee
151,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,Deepark Dynamites,Dolphins,Naperville East
152,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,Evanston CC,Kings XI Chicago,Plainfield Northwest
153,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,Midwest CC,Pak Gymkhana,Plainfield Grande Park old
154,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,Anjuman,Deccan Mavericks,balstrod b.brook
155,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Rising Starz Youth,Spartans,WP 1
156,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Bullfincherz,Dominators,WP 2
157,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,BPL Youth,Kings,Tippecone Park
158,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Chicago Warriors,Stars,Crescent
159,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Midwest Vipers,Wildcats,South Barrington OLD
160,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,CYCA Underdogs,Warriors,Hanover Park
161,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Black Caps,Schaumburg Strikers,Heritage Park
162,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,DMavs Stallions,South Barrington Cricket Club,Skoke East
163,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Deccan Heroes,DeePark Dynamites,Skoke West
164,Leather Ball 2026,Blast T20,League,05/02/2026,15:30,Chicago Saifee Warriors,The Underdawg XI,"James Park, Evanston"
165,Leather Ball 2026,Blast T20,League,05/02/2026,12:00,Challengers,Club Cricket of Chicago,Tigers Park
166,Leather Ball 2026,Blast T20,League,05/02/2026,12:00,Brothers XI,Chicago Saifee Warriors,Gurnee
167,Leather Ball 2026,Yash Premier League,League,05/02/2026,08:30,Barrington Crescent Cricket Club,Dolphins,Tigers Park
168,Leather Ball 2026,Yash Premier League,League,05/02/2026,08:30,Pak Gymkhana,Panthers,Gurnee
169,Leather Ball 2026,Yash Premier League,League,05/02/2026,08:30,Deccan Mavericks,Midwest CC,Naperville East
170,Leather Ball 2026,Yash Premier League,League,05/02/2026,08:30,CYCA Elite,Kings XI Chicago,Plainfield Northwest
171,Leather Ball 2026,Yash Premier League,League,05/02/2026,08:30,Anjuman,Evanston CC,Plainfield Grande Park old
172,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,BPL Youth,Rising Starz Youth,balstrod b.brook
173,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Midwest Vipers,Spartans,WP 1
174,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,CYCA Underdogs,DMavs Stallions,WP 2
175,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Black Caps,Bullfincherz,Tippecone Park
176,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Chicago Warriors,South Barrington Cricket Club,Crescent
177,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Dominators,Hawks,South Barrington OLD
178,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,DeePark Dynamites,Kings,Hanover Park
179,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Oh Gawd XI,Stars,Heritage Park
180,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Deccan Heroes,Schaumburg Strikers,Skoke East
181,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,AAA,Warriors,Skoke West
182,Leather Ball 2026,Blast T20,League,05/02/2026,08:30,Club Cricket of Chicago,The Underdawg XI,"James Park, Evanston"
183,Leather Ball 2026,Blast T20,League,05/02/2026,08:30,Challengers,Desi Tigers,Vernon Hills
184,Leather Ball 2026,RedBall Premier,League,05/03/2026,15:30,Deccan Mavericks,Rovers,Tigers Park
185,Leather Ball 2026,RedBall Premier,League,05/03/2026,15:30,Challengers,Midwest CC,Gurnee
186,Leather Ball 2026,RedBall Premier,League,05/03/2026,15:30,Club Cricket of Chicago,CYCA Elite,Naperville East
187,Leather Ball 2026,RedBall Premier,League,05/03/2026,15:30,Milwaukee Panthers,Streamwood Cricket Club,Plainfield Northwest
188,Leather Ball 2026,RedBall Premier,League,05/03/2026,15:30,Cardinals United,SBCC Slayers,Plainfield Grande Park old
189,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,Bullfincherz,Hawks,balstrod b.brook
190,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,Oh Gawd XI,South Barrington Cricket Club,WP 1
191,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,Black Caps,BPL Youth,WP 2
192,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,DeePark Dynamites,Dominators,Tippecone Park
193,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,CYCA Underdogs,Schaumburg Strikers,Crescent
194,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,Chicago Warriors,Midwest Vipers,South Barrington OLD
195,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,AAA,Rising Starz Youth,Hanover Park
196,Leather Ball 2026,RedBall Division II,League,05/03/2026,15:30,DMavs Stallions,Evanston CC,Heritage Park
197,Leather Ball 2026,RedBall Premier,League,05/03/2026,08:30,CYCA Elite,SBCC Slayers,Tigers Park
198,Leather Ball 2026,RedBall Premier,League,05/03/2026,08:30,Club Cricket of Chicago,Deccan Mavericks,Gurnee
199,Leather Ball 2026,RedBall Premier,League,05/03/2026,08:30,Midwest CC,Milwaukee Panthers,Naperville East
200,Leather Ball 2026,RedBall Premier,League,05/03/2026,08:30,Challengers,Rovers,Plainfield Northwest
201,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,Bullfincherz,DeePark Dynamites,Plainfield Grande Park old
202,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,CYCA Underdogs,Spartans,balstrod b.brook
203,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,BPL Youth,South Barrington Cricket Club,WP 1
204,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,Midwest Vipers,Schaumburg Strikers,WP 2
205,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,Rising Starz Youth,Stars,Tippecone Park
206,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,Kings,Oh Gawd XI,Crescent
207,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,Deccan Heroes,DMavs Stallions,South Barrington OLD
208,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,Hawks,Wildcats,Hanover Park
209,Leather Ball 2026,RedBall Division II,League,05/03/2026,08:30,Black Caps,Chicago Warriors,Heritage Park
210,Leather Ball 2026,Yash Premier League,League,05/09/2026,15:30,Barrington Crescent Cricket Club,Midwest CC,Tigers Park
211,Leather Ball 2026,Yash Premier League,League,05/09/2026,15:30,Dolphins,Panthers,Gurnee
212,Leather Ball 2026,Yash Premier League,League,05/09/2026,15:30,Pak Gymkhana,SBCC Slayers,Naperville East
213,Leather Ball 2026,Yash Premier League,League,05/09/2026,15:30,Anjuman,Kings XI Chicago,Plainfield Northwest
214,Leather Ball 2026,Yash Premier League,League,05/09/2026,15:30,CYCA Elite,Deepark Dynamites,Plainfield Grande Park old
215,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,15:30,Midwest Vipers,South Barrington Cricket Club,balstrod b.brook
216,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,15:30,Black Caps,Stars,WP 1
217,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,15:30,Hawks,Schaumburg Strikers,WP 2
218,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,15:30,AAA,Deccan Heroes,Tippecone Park
219,Leather Ball 2026,RedBall Division II,League,05/09/2026,15:30,CYCA Underdogs,DMavs Stallions,Crescent
220,Leather Ball 2026,RedBall Division II,League,05/09/2026,15:30,Chicago Warriors,Club Cricket of Chicago,South Barrington OLD
221,Leather Ball 2026,Blast T20,League,05/09/2026,12:00,DeePark Dynamites,Midwest Bison,Tigers Park
222,Leather Ball 2026,Blast T20,League,05/09/2026,12:00,Challengers,Midwest CC,Gurnee
223,Leather Ball 2026,Yash Premier League,League,05/09/2026,08:30,Barrington Crescent Cricket Club,Deccan Mavericks,Tigers Park
224,Leather Ball 2026,Yash Premier League,League,05/09/2026,08:30,Dolphins,Evanston CC,Gurnee
225,Leather Ball 2026,Yash Premier League,League,05/09/2026,08:30,CYCA Elite,SBCC Slayers,Naperville East
226,Leather Ball 2026,Yash Premier League,League,05/09/2026,08:30,Kings XI Chicago,Panthers,Plainfield Northwest
227,Leather Ball 2026,Yash Premier League,League,05/09/2026,08:30,Deepark Dynamites,Pak Gymkhana,Plainfield Grande Park old
228,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,Hawks,Spartans,balstrod b.brook
229,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,Midwest Vipers,Oh Gawd XI,WP 1
230,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,Dominators,Stars,WP 2
231,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,BPL Youth,Chicago Warriors,Tippecone Park
232,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,AAA,Kings,Crescent
233,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,Black Caps,DMavs Stallions,South Barrington OLD
234,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,CYCA Underdogs,Wildcats,Hanover Park
235,Leather Ball 2026,Blast T20,League,05/09/2026,08:30,Challengers,DeePark Dynamites,Heritage Park
236,Leather Ball 2026,Blast T20,League,05/09/2026,08:30,Club Cricket of Chicago,Shaheens of Pakistan,Skoke East
237,Leather Ball 2026,RedBall Premier,League,05/10/2026,15:30,Club Cricket of Chicago,SBCC Slayers,Tigers Park
238,Leather Ball 2026,RedBall Premier,League,05/10/2026,15:30,Deccan Mavericks,Milwaukee Panthers,Gurnee
239,Leather Ball 2026,RedBall Premier,League,05/10/2026,15:30,CYCA Elite,Streamwood Cricket Club,Naperville East
