#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
118,Leather Ball 2026,RedBall Premier,League,04/26/2026,08:30,Cardinals United,SBCC Slayers,Naperville East
119,Leather Ball 2026,RedBall Premier,League,04/26/2026,08:30,Challengers,Streamwood Cricket Club,Plainfield Northwest
120,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,Kings,South Barrington Cricket Club,Plainfield Grande Park old
121,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,AAA,Rising Starz Youth,balstrod b.brook
122,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,Bullfincherz,Spartans,WP 1
123,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,DMavs Stallions,Oh Gawd XI,WP 2
124,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,Chicago Warriors,Deccan Heroes,Tippecone Park
125,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,CYCA Underdogs,Stars,Crescent
126,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,DeePark Dynamites,Midwest Vipers,South Barrington OLD
127,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,Black Caps,BPL Youth,Hanover Park
128,Leather Ball 2026,RedBall Division II,League,04/26/2026,08:30,Evanston CC,Midwest Blizzards,"James Park, Evanston"
129,Leather Ball 2026,Elite White Ball Division II,League,04/26/2026,08:30,Hawks,Warriors,Vernon Hills
130,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,Evanston CC,Panthers,Tigers Park
131,Leather Ball 2026,Blast T20,League,05/02/2026,15:30,Brothers XI,Shaheens of Pakistan,Gurnee
132,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Deccan Heroes,DMavs Stallions,Naperville East
133,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Oh Gawd XI,Warriors,Plainfield Northwest
134,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Hawks,Kings,Plainfield Grande Park old
135,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Dominators,Spartans,balstrod b.brook
136,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Chicago Warriors,Schaumburg Strikers,WP 1
137,Leather Ball 2026,RedBall Division II,League,05/02/2026,15:30,Black Caps,Club Cricket of Chicago,WP 2
138,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,Anjuman,Barrington Crescent Cricket Club,Crescent
139,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,Kings XI Chicago,Midwest CC,South Barrington OLD
140,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,Pak Gymkhana,SBCC Slayers,Hanover Park
141,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,Deepark Dynamites,Dolphins,Heritage Park
142,Leather Ball 2026,Yash Premier League,League,05/02/2026,15:30,CYCA Elite,Deccan Mavericks,Skoke East
